"0","0","0","0","0","0","0","0","0","0","0","1","11","15","0","21","34","34","23","27","21","4","33","12","14","18","19","8","3","13","8","12","0","0","0","0","2","0","0","0","0","29","13","0","0","0","0","1"
"0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","26","9","21","0","7","4","0","1","1","2","29","46","9","18","8","0","0","0","0","11","0","0","2","0","0","1","1","0","0","0"
"2","0","0","0","0","0","0","0","0","0","2","4","10","9","4","5","23","18","16","7","0","1","4","28","85","21","6","19","22","1","0","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","25","19","16","16","15","4","11","24","3","0","5","0","27","3","0","4","4","0","2","11","12","7","5","2","0","0","0","1","10"
"3","17","0","0","1","3","1","3","1","0","0","0","0","0","0","0","0","0","1","3","14","6","9","9","1","0","0","0","3","23","22","12","11","3","5","0","0","0","0","3","7","11","4","0","0","0","0","0"
"0","0","3","0","0","0","0","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","7","4","8","1","0","0","0","0","0","0","0","0","0","0","0"
"3","2","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","2","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","0","0","0","0","0","2","19","17","9","5","32","10","16","11","6","7","8","20","9","2","2","3","0","0","0","0","0","0","1"
"0","2","0","0","1","1","2","0","0","0","0","1","6","0","2","0","3","9","0","2","1","3","0","6","2","0","0","4","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","10","2","1","1","3","2","2","0","1","3","0","6","7","19","10","8","3","0","3","0","1","0","3","1","1","7","0","0","0","1","0","0","0","0","0","5","1","1","0","1","0"
"0","0","0","0","12","2","3","0","0","5","1","3","0","0","1","0","0","0","0","0","1","2","6","0","1","4","1","0","0","0","0","0","1","1","0","0","1","1","0","0","2","0","0","0","2","1","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","6","1","0","0","0","0","0","0","0","5","2","4","1","7","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","4","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","21","6","9","10","28","5","4","24","26","8","7","4","14","3","4","0","0","0","0","0","0","1","0","0","0","0","2","7","4","1","1"
"0","0","0","2","0","2","0","0","0","0","0","0","0","1","0","1","1","0","0","0","3","6","1","1","5","3","1","0","0","0","3","0","0","3","0","3","2","0","0","0","0","3","0","0","2","0","0","0"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","4","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","3","2","0","2","2","0","5","0","7","1","5","0","0","0","0","0","0","0","0","2","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","7","3","2","0","2","0","0","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","2","2","1","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","4","1","0","0","0","1","0","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","10","4","1","0","2","0","0","1"
