"0","8231"
"1","1190"
"2","780"
"3","571"
"4","443"
"5","419"
"6","334"
"7","342"
"8","267"
"9","281"
"10","175"
"11","141"
"12","131"
"13","119"
"14","95"
"15","85"
"16","76"
"17","69"
"18","51"
"19","56"
"20","36"
"21","37"
"22","23"
"23","23"
"24","23"
"25","18"
"26","14"
"27","24"
"28","16"
"29","17"
"30","5"
"31","16"
"32","8"
"33","9"
"34","5"
"35","7"
"36","7"
"37","9"
"38","4"
"39","6"
"40","4"
"41","8"
"42","2"
"43","1"
"44","2"
"45","2"
"46","3"
"47","0"
"48","1"
"49","4"
"50","1"
"51","1"
"52","2"
"53","1"
"54","2"
"55","1"
"56","2"
"57","1"
"58","0"
"59","1"
"60","1"
"61","0"
"62","0"
"63","2"
"64","0"
"65","0"
"66","0"
"67","1"
"68","1"
"69","0"
"70","1"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","1"
"77","0"
"78","2"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
"91","0"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","1"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","0"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","1"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","1"
"133","0"
"134","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","0"
"140","0"
"141","0"
"142","0"
